epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
2,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
3,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
4,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
5,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
6,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
7,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
8,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
9,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
10,0.18896745708729196,0.9273965610566516,0.18972521066982134,0.9272011220574634
